Designator,Mid X,Mid Y,Rotation,Layer
U4,145.491194,-99.695,-90.0,top
U2,141.681194,-103.505,90.0,top
R7,118.745,-101.0666,90.0,top
J3,146.8374,-128.27,90.0,top
J10,173.35,-108.6,0.0,top
J5,166.8526,-128.27,90.0,top
R2,172.847,-100.965,0.0,top
C6,138.43,-109.220001,180.0,top
U5,125.73,-90.805,0.0,top
C3,156.749382,-111.00864,-135.0,top
J15,131.445,-80.01,-90.0,top
C1,152.005028,-105.41,180.0,top
C5,165.681151,-100.949889,-135.0,top
U3,118.745,-115.5192,90.0,top
C11,125.095,-95.885,-90.0,top
C2,155.62333,-109.879891,-135.0,top
R8,118.745,-91.4654,-90.0,top
J14,115.824,-80.01,-90.0,top
D2,176.149,-100.965,180.0,top
C10,122.5804,-95.885,-90.0,top
J1,126.8222,-128.27,90.0,top
J6,176.8602,-128.27,90.0,top
R6,125.222,-101.9575,90.0,top
J9,156.845,-80.01,-90.0,top
J2,136.8298,-128.27,90.0,top
SW3,176.149,-96.52,0.0,top
SW2,132.08,-114.813287,90.0,top
C4,166.816495,-102.071827,45.0,top
J4,156.845,-128.27,90.0,top
D5,154.305,-97.79,0.0,top
RJ1,108.612936,-97.409003,-90.0,top
C7,154.305,-95.504,180.0,top
R1,177.394099,-117.673055,-90.0,top
C9,161.948086,-114.91546,45.0,top
SW1,130.048,-103.585,0.0,top
J13,105.41,-113.665,0.0,top
J16,146.8374,-80.01,-90.0,top
J12,105.41,-126.365,0.0,top
Y1,158.75,-113.665,-45.0,top
U1,160.655,-105.41,45.0,top
J11,136.525,-92.71,90.0,top
R3,154.305,-100.203,0.0,top
J8,166.8526,-80.01,-90.0,top
C8,155.568113,-114.511941,-45.0,top
J7,176.8602,-80.01,-90.0,top
D1,179.299099,-117.673055,-90.0,top
